Marina Trace Analysis Report
GeneratedAtUTC: 2026-05-15T12:00:00Z
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: topCategories | ranked_list
  actualTarget: nil
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: message
  verdictRaw: correct
  likelySmallestFix: none
- prompt: Where is most of my money going?
  group: core
  expectedOperation: ranked_list
  expectedMeasure: topCategories
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: recovery
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: nil
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: recovery
  verdictRaw: aggregation execution failure
  likelySmallestFix: add graceful execution fallback for unresolved mapped queries
- prompt: What merchants did I spend the most at?
  group: core
  expectedOperation: ranked_list
  expectedMeasure: topMerchants
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: spendTotal | sum
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: list
  verdictRaw: correct
  likelySmallestFix: none
- prompt: What percent of my spending was Food & Drink?
  group: core
  expectedOperation: share_of_total
  expectedMeasure: categorySpendShare
  expectedEntityScope: category
  expectedTarget: Food & Drink
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: categorySpendShare | share_of_total
  actualTarget: Food & Drink
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: message
  verdictRaw: correct
  likelySmallestFix: none
- prompt: Break down my spending by category this month.
  group: core
  expectedOperation: ranked_list
  expectedMeasure: topCategories
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: categorySpendShare | share_of_total
  actualTarget: nil
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: message
  verdictRaw: correct
  likelySmallestFix: none
- prompt: How am I doing this month?
  group: core
  expectedOperation: overview
  expectedMeasure: overview
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: nil
  expectedPresentationIntent: overview
  selectedRoute: recovery
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: nil
  actualTarget: how am i doing
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: recovery
  verdictRaw: aggregation execution failure
  likelySmallestFix: add graceful execution fallback for unresolved mapped queries
- prompt: How is my budget looking?
  group: core
  expectedOperation: overview
  expectedMeasure: overview
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: overview
  selectedRoute: recovery
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: nil
  actualTarget: how is my budget looking
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: recovery
  verdictRaw: aggregation execution failure
  likelySmallestFix: add graceful execution fallback for unresolved mapped queries
- prompt: If I spend $50 on Food & Drink, how will that affect my budget?
  group: core
  expectedOperation: what_if
  expectedMeasure: simulation
  expectedEntityScope: category
  expectedTarget: Food & Drink
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: what_if
  selectedRoute: clarification
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: nil
  actualTarget: food & drink how will that affect my budget
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: clarification
  verdictRaw: unsupported capability
  likelySmallestFix: add dedicated what-if trace path classification without execution
- prompt: If I buy something for $120 today, can I still stay within my safe spend?
  group: core
  expectedOperation: what_if
  expectedMeasure: safe_spend_simulation
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: today
  expectedComparisonDateRange: nil
  expectedPresentationIntent: what_if
  selectedRoute: clarification
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: nil
  actualTarget: if i buy something for 120
  actualPrimaryDateRange: 2026-05-15..2026-05-16
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: clarification
  verdictRaw: unsupported capability
  likelySmallestFix: add dedicated what-if trace path classification without execution
- prompt: Am I spending more on food lately, or is it about normal?
  group: stress_messy_manual_2026_05
  expectedOperation: difference
  expectedMeasure: categoryMonthComparison
  expectedEntityScope: category
  expectedTarget: food
  expectedPrimaryDateRange: lately
  expectedComparisonDateRange: normal_baseline
  expectedPresentationIntent: comparison
  selectedRoute: clarification
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: categorySpendTotal | sum
  actualTarget: food lately or is it about normal
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: clarification
  verdictRaw: comparison range failure
  likelySmallestFix: require secondary range synthesis for comparison prompts
- prompt: How bad was Food & Drink compared to last month?
  group: stress_messy_manual_2026_05
  expectedOperation: difference
  expectedMeasure: categoryMonthComparison
  expectedEntityScope: category
  expectedTarget: Food & Drink
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: last_month
  expectedPresentationIntent: comparison
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: monthComparison | difference
  actualTarget: nil
  actualPrimaryDateRange: 2026-04-01..2026-05-01
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: comparison
  verdictRaw: comparison range failure
  likelySmallestFix: require secondary range synthesis for comparison prompts
- prompt: Did groceries go up or down from March to April?
  group: stress_messy_manual_2026_05
  expectedOperation: difference
  expectedMeasure: categoryMonthComparison
  expectedEntityScope: category
  expectedTarget: groceries
  expectedPrimaryDateRange: april
  expectedComparisonDateRange: march
  expectedPresentationIntent: comparison
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: monthComparison | difference
  actualTarget: nil
  actualPrimaryDateRange: 2026-03-01..2026-04-01
  actualComparisonDateRange: 2026-04-01..2026-05-01
  aggregationPath: single_home_query_engine
  responseType: message
  verdictRaw: correct
  likelySmallestFix: none
- prompt: What card is eating most of my budget this period?
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: topCards
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: clarification
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: nil
  actualTarget: what
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: clarification
  verdictRaw: aggregation execution failure
  likelySmallestFix: add graceful execution fallback for unresolved mapped queries
- prompt: Which category is hurting me the most right now?
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: topCategories
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: topCategories | ranked_list
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: message
  verdictRaw: correct
  likelySmallestFix: none
- prompt: Break down where my money went this month, but don’t just give me the total.
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: topCategories
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: recovery
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: nil
  actualTarget: break down where my money went
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: recovery
  verdictRaw: aggregation execution failure
  likelySmallestFix: add graceful execution fallback for unresolved mapped queries
- prompt: What did I spend on Apple Card outside of Food & Drink?
  group: stress_messy_manual_2026_05
  expectedOperation: sum
  expectedMeasure: cardSpendExcludingCategory
  expectedEntityScope: card_and_category_filter
  expectedTarget: Apple Card
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: spendTotal | sum
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: message
  verdictRaw: correct
  likelySmallestFix: none
- prompt: How much of my spending this month was Food & Drink?
  group: stress_messy_manual_2026_05
  expectedOperation: share_of_total
  expectedMeasure: categorySpendShare
  expectedEntityScope: category
  expectedTarget: Food & Drink
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: spendTotal | sum
  actualTarget: nil
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: list
  verdictRaw: correct
  likelySmallestFix: none
- prompt: Is Shopping over where it should be for this budget?
  group: stress_messy_manual_2026_05
  expectedOperation: compare_to_limit
  expectedMeasure: categoryBudgetAvailability
  expectedEntityScope: category
  expectedTarget: Shopping
  expectedPrimaryDateRange: current_budget
  expectedComparisonDateRange: nil
  expectedPresentationIntent: comparison
  selectedRoute: recovery
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: nil
  actualTarget: is shopping over where it should be for this budget
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: recovery
  verdictRaw: aggregation execution failure
  likelySmallestFix: add graceful execution fallback for unresolved mapped queries
- prompt: What category changed the most compared to last month?
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: categoryMonthComparisonRanked
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: last_month
  expectedPresentationIntent: list
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: monthComparison | difference
  actualTarget: nil
  actualPrimaryDateRange: 2026-04-01..2026-05-01
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: message
  verdictRaw: comparison range failure
  likelySmallestFix: require secondary range synthesis for comparison prompts
- prompt: What was my average weekly spending on groceries over the last 3 months?
  group: stress_messy_manual_2026_05
  expectedOperation: average
  expectedMeasure: categoryAverageSpend
  expectedEntityScope: category
  expectedTarget: groceries
  expectedPrimaryDateRange: last_3_months
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: spendAveragePerPeriod | average
  actualTarget: nil
  actualPrimaryDateRange: 2026-02-15..2026-05-15
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: message
  verdictRaw: metric/operation mapping failure
  likelySmallestFix: add explicit average-by-target mapping metric
- prompt: If I keep spending like this, how much will I have left by the end of the period?
  group: stress_messy_manual_2026_05
  expectedOperation: forecast
  expectedMeasure: projectedRemainingBudget
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: forecast
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: spendTotal | sum
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: list
  verdictRaw: correct
  likelySmallestFix: none
- prompt: If I add $75 to Shopping, does Transportation still have room?
  group: stress_messy_manual_2026_05
  expectedOperation: what_if
  expectedMeasure: simulation
  expectedEntityScope: category_pair
  expectedTarget: Shopping
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: what_if
  selectedRoute: clarification
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: merchantSpendTotal | sum
  actualTarget: shopping does transportation still have room
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: clarification
  verdictRaw: unsupported capability
  likelySmallestFix: add dedicated what-if trace path classification without execution
- prompt: What expenses are making this month higher than last month?
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: transactionDeltaDrivers
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: last_month
  expectedPresentationIntent: list
  selectedRoute: recovery
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: nil
  actualTarget: what expenses are making
  actualPrimaryDateRange: 2026-04-01..2026-05-01
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: recovery
  verdictRaw: aggregation execution failure
  likelySmallestFix: add graceful execution fallback for unresolved mapped queries
- prompt: Show me the stuff I’m spending on too often, not necessarily the most money.
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: frequentMerchants
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: nlq
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: spendTotal | sum
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: single_home_query_engine
  responseType: list
  verdictRaw: correct
  likelySmallestFix: none

mode: shared_pipeline_heuristic
- prompt: Am I spending more on food lately, or is it about normal?
  group: stress_messy_manual_2026_05
  expectedOperation: difference
  expectedMeasure: categoryMonthComparison
  expectedEntityScope: category
  expectedTarget: food
  expectedPrimaryDateRange: lately
  expectedComparisonDateRange: normal_baseline
  expectedPresentationIntent: comparison
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=compare | measure=spend
  actualTarget: primaryTarget:category:Food & Drink:52F56209-AEEB-4B78-B148-035ACE20F953
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: 2026-04-01..2026-05-01
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Category Comparison (Food & Drink),rows=0,responseShape=comparison,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: compare
  sharedCandidateMeasure: spend
  sharedCandidateSummary: family=analytics,source=heuristic,operation=compare,measure=spend,entities=primaryTarget:category:food:medium,timeScopes=primary:nil:month:2026-05-01...2026-06-01;comparison:nil:month:2026-04-01...2026-05-01,grouping=category:nil,responseHint=comparison,validator=executable:compare:spend:shape=comparison,plan=metric=categoryMonthComparison,target=Food & Drink,date=2026-05-01..2026-06-01,comparison=2026-04-01..2026-05-01,selectionRank=1,operationPreserved=true
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: primaryTarget:category:Food & Drink:52F56209-AEEB-4B78-B148-035ACE20F953
  sharedTimeScopes: primary:nil:month:2026-05-01..2026-06-01;comparison:nil:month:2026-04-01..2026-05-01
  sharedValidatorOutcome: executable:compare:spend
  sharedAggregationPlanSummary: operation=compare,measure=spend,targets=primaryTarget:category:Food & Drink,primary=2026-05-01..2026-06-01,comparison=2026-04-01..2026-05-01,grouping=category,ranking=nil,shape=comparison
  sharedExecutorResultShape: route=comparison;amountBasis=budgetImpact;message:Category Comparison (Food & Drink)
  sharedResponseBridgeShape: kind=message,title=Category Comparison (Food & Drink),rows=0,responseShape=comparison,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: How bad was Food & Drink compared to last month?
  group: stress_messy_manual_2026_05
  expectedOperation: difference
  expectedMeasure: categoryMonthComparison
  expectedEntityScope: category
  expectedTarget: Food & Drink
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: last_month
  expectedPresentationIntent: comparison
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=compare | measure=spend
  actualTarget: primaryTarget:category:Food & Drink:52F56209-AEEB-4B78-B148-035ACE20F953
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: 2026-04-01..2026-05-01
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Category Comparison (Food & Drink),rows=0,responseShape=comparison,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: compare
  sharedCandidateMeasure: spend
  sharedCandidateSummary: family=analytics,source=heuristic,operation=compare,measure=spend,entities=primaryTarget:category:food & drink:medium,timeScopes=primary:nil:month:2026-05-01...2026-06-01;comparison:nil:month:2026-04-01...2026-05-01,grouping=category:nil,responseHint=comparison,validator=executable:compare:spend:shape=comparison,plan=metric=categoryMonthComparison,target=Food & Drink,date=2026-05-01..2026-06-01,comparison=2026-04-01..2026-05-01,selectionRank=2,operationPreserved=false
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: primaryTarget:category:Food & Drink:52F56209-AEEB-4B78-B148-035ACE20F953
  sharedTimeScopes: primary:nil:month:2026-05-01..2026-06-01;comparison:nil:month:2026-04-01..2026-05-01
  sharedValidatorOutcome: executable:compare:spend
  sharedAggregationPlanSummary: operation=compare,measure=spend,targets=primaryTarget:category:Food & Drink,primary=2026-05-01..2026-06-01,comparison=2026-04-01..2026-05-01,grouping=category,ranking=nil,shape=comparison
  sharedExecutorResultShape: route=comparison;amountBasis=budgetImpact;message:Category Comparison (Food & Drink)
  sharedResponseBridgeShape: kind=message,title=Category Comparison (Food & Drink),rows=0,responseShape=comparison,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: Did groceries go up or down from March to April?
  group: stress_messy_manual_2026_05
  expectedOperation: difference
  expectedMeasure: categoryMonthComparison
  expectedEntityScope: category
  expectedTarget: groceries
  expectedPrimaryDateRange: april
  expectedComparisonDateRange: march
  expectedPresentationIntent: comparison
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=compare | measure=spend
  actualTarget: primaryTarget:category:Groceries:A6DEA228-529D-407F-8F50-AB75606EFB4B
  actualPrimaryDateRange: 2026-04-01..2026-05-01
  actualComparisonDateRange: 2026-03-01..2026-04-01
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Category Comparison (Groceries),rows=0,responseShape=comparison,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: compare
  sharedCandidateMeasure: spend
  sharedCandidateSummary: family=analytics,source=heuristic,operation=compare,measure=spend,entities=primaryTarget:category:groceries:medium,timeScopes=primary:nil:month:2026-04-01...2026-05-01;comparison:nil:month:2026-03-01...2026-04-01,grouping=category:nil,responseHint=comparison,validator=executable:compare:spend:shape=comparison,plan=metric=categoryMonthComparison,target=Groceries,date=2026-04-01..2026-05-01,comparison=2026-03-01..2026-04-01,selectionRank=1,operationPreserved=true
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: primaryTarget:category:Groceries:A6DEA228-529D-407F-8F50-AB75606EFB4B
  sharedTimeScopes: primary:nil:month:2026-04-01..2026-05-01;comparison:nil:month:2026-03-01..2026-04-01
  sharedValidatorOutcome: executable:compare:spend
  sharedAggregationPlanSummary: operation=compare,measure=spend,targets=primaryTarget:category:Groceries,primary=2026-04-01..2026-05-01,comparison=2026-03-01..2026-04-01,grouping=category,ranking=nil,shape=comparison
  sharedExecutorResultShape: route=comparison;amountBasis=budgetImpact;message:Category Comparison (Groceries)
  sharedResponseBridgeShape: kind=message,title=Category Comparison (Groceries),rows=0,responseShape=comparison,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: What card is eating most of my budget this period?
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: topCards
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=rank | measure=spend
  actualTarget: nil
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: nil
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Cards by Budget Impact,rows=0,responseShape=rankedList,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: rank
  sharedCandidateMeasure: spend
  sharedCandidateSummary: family=analytics,source=heuristic,operation=rank,measure=spend,timeScopes=primary:nil:month:2026-05-01...2026-06-01,grouping=card:nil,ranking=top:nil:nil,responseHint=rankedList,validator=executable:rank:spend:shape=rankedList,plan=operation=rank,measure=spend,targets=0,date=2026-05-01..2026-06-01,comparison=nil,shape=rankedList,selectionRank=1,operationPreserved=true
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: nil
  sharedTimeScopes: primary:nil:month:2026-05-01..2026-06-01
  sharedValidatorOutcome: executable:rank:spend
  sharedAggregationPlanSummary: operation=rank,measure=spend,targets=,primary=2026-05-01..2026-06-01,comparison=nil,grouping=card,ranking=top,shape=rankedList
  sharedExecutorResultShape: route=groupedRanked;amountBasis=budgetImpact;composableWorkspace=cardBudgetImpactRanking,resultCount=0
  sharedResponseBridgeShape: kind=message,title=Cards by Budget Impact,rows=0,responseShape=rankedList,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: Which category is hurting me the most right now?
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: topCategories
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=rank | measure=spend
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Top Categories This Month,rows=0,responseShape=rankedList,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: rank
  sharedCandidateMeasure: spend
  sharedCandidateSummary: family=analytics,source=heuristic,operation=rank,measure=spend,grouping=category:nil,ranking=top:nil:nil,responseHint=rankedList,validator=executable:rank:spend:shape=rankedList,plan=metric=topCategories,target=nil,date=nil,comparison=nil,selectionRank=1,operationPreserved=true
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: nil
  sharedTimeScopes: nil
  sharedValidatorOutcome: executable:rank:spend
  sharedAggregationPlanSummary: operation=rank,measure=spend,targets=,primary=nil,comparison=nil,grouping=category,ranking=top,shape=rankedList
  sharedExecutorResultShape: route=groupedRanked;amountBasis=budgetImpact;message:Top Categories This Month
  sharedResponseBridgeShape: kind=message,title=Top Categories This Month,rows=0,responseShape=rankedList,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: Break down where my money went this month, but don’t just give me the total.
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: topCategories
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=rank | measure=spend
  actualTarget: nil
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: nil
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Top Categories This Month,rows=0,responseShape=groupedBreakdown,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: rank
  sharedCandidateMeasure: spend
  sharedCandidateSummary: family=analytics,source=heuristic,operation=rank,measure=spend,timeScopes=primary:nil:month:2026-05-01...2026-06-01,grouping=category:nil,ranking=top:nil:nil,responseHint=groupedBreakdown,validator=executable:rank:spend:shape=groupedBreakdown,plan=metric=topCategories,target=nil,date=2026-05-01..2026-06-01,comparison=nil,selectionRank=2,operationPreserved=false
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: nil
  sharedTimeScopes: primary:nil:month:2026-05-01..2026-06-01
  sharedValidatorOutcome: executable:rank:spend
  sharedAggregationPlanSummary: operation=rank,measure=spend,targets=,primary=2026-05-01..2026-06-01,comparison=nil,grouping=category,ranking=top,shape=groupedBreakdown
  sharedExecutorResultShape: route=groupedRanked;amountBasis=budgetImpact;message:Top Categories This Month
  sharedResponseBridgeShape: kind=message,title=Top Categories This Month,rows=0,responseShape=groupedBreakdown,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: What did I spend on Apple Card outside of Food & Drink?
  group: stress_messy_manual_2026_05
  expectedOperation: sum
  expectedMeasure: cardSpendExcludingCategory
  expectedEntityScope: card_and_category_filter
  expectedTarget: Apple Card
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=sum | measure=spend
  actualTarget: filter:card:Apple Card:9D1DE038-4094-4348-B257-FBF4A0FF1F3D;filter:category:Food & Drink:52F56209-AEEB-4B78-B148-035ACE20F953
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Filtered Spending,rows=0,responseShape=summaryCard,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: sum
  sharedCandidateMeasure: spend
